pfam,total_genes,genes_in_lanthipeptide,genes_in_control,m_prime_lanthipeptide,s_prime_lanthipeptide,m_prime_control,s_prime_control,Z_score_lanthipeptide,Z_score_control,p_value,bonferroni_p_value,p_value_control,bonferroni_p_value_control,significant
PF00005,5111,3604,1507,1567.98078574858,32.9688790707453,3543.01921425142,32.9688790707453,61.7557912685622,-61.7557912685622,0,0,0,0,TRUE
PF00365,3159,11,3148,969.135453371117,25.9194662499081,2189.86454662888,25.9194662499081,-36.9658635765508,36.9658635765508,2.02535285615841e-299,1.42463319902183e-295,2.02535285615895e-299,1.4246331990222e-295,TRUE
PF05147,2589,2572,17,794.267707748598,23.4648221193155,1794.7322922514,23.4648221193155,75.7615925325096,-75.7615925325096,0,0,0,0,TRUE
PF13575,2508,2493,15,769.418080739083,23.0948426232271,1738.58191926092,23.0948426232271,74.6305981547353,-74.6305981547353,0,0,0,0,TRUE
PF02518,2350,580,1770,720.945968794595,22.3555403837486,1629.05403120541,22.3555403837486,-6.30474443360161,6.30474443360161,1.44334908665185e-10,1.01525174755091e-06,1.44334908665185e-10,1.01525174755091e-06,TRUE
PF02463,2347,2258,89,720.025612238687,22.3412663328836,1626.97438776131,22.3412663328836,68.8400722163901,-68.8400722163901,0,0,0,0,TRUE
PF00072,2330,884,1446,714.810258421875,22.2602071545974,1615.18974157813,22.2602071545974,7.6005465898453,-7.60054658984531,1.47441287764904e-14,1.03710201813833e-10,1.47441287764898e-14,1.03710201813829e-10,TRUE
PF13304,2103,2068,35,645.169945691503,21.148076728019,1457.8300543085,21.148076728019,67.2794066622332,-67.2794066622332,0,0,0,0,TRUE
PF00664,1819,1690,129,558.04285839888,19.6683347201502,1260.95714160112,19.6683347201502,57.5522614246254,-57.5522614246254,0,0,0,0,TRUE
PF00512,1499,345,1154,459.871492435361,17.8546794460911,1039.12850756464,17.8546794460911,-6.43369111062418,6.43369111062419,6.2270914678319e-11,4.38013613847296e-07,6.22709146783165e-11,4.38013613847278e-07,TRUE
PF03412,1458,1420,38,447.293286171285,17.6088098232341,1010.70671382872,17.6088098232341,55.2397762025498,-55.2397762025498,0,0,0,0,TRUE
PF14579,1433,3,1430,439.623648205385,17.457189902331,993.376351794615,17.457189902331,-25.0111072084451,25.0111072084451,2.31439924593979e-138,1.62794842959405e-134,2.31439924593979e-138,1.62794842959405e-134,TRUE
PF07733,1432,6,1426,439.316862686749,17.4510977053552,992.683137313251,17.4510977053552,-24.8303499300091,24.8303499300091,2.10815505737466e-136,1.48287626735734e-132,2.10815505737448e-136,1.48287626735721e-132,TRUE
PF17657,1432,6,1426,439.316862686749,17.4510977053552,992.683137313251,17.4510977053552,-24.8303499300091,24.8303499300091,2.10815505737466e-136,1.48287626735734e-132,2.10815505737448e-136,1.48287626735721e-132,TRUE
PF02811,1345,14,1331,412.626522565417,16.912678109549,932.373477434583,16.912678109549,-23.5696865974378,23.5696865974378,3.94406249213025e-123,2.77425355696442e-119,3.94406249212992e-123,2.77425355696419e-119,TRUE
PF00486,1261,427,834,386.856538999993,16.3760359991407,874.143461000007,16.3760359991407,2.45135397858878,-2.45135397858879,0.00711599589069486,1,0.00711599589069479,1,FALSE
PF07690,1260,541,719,386.549753481357,16.3695414377117,873.450246518643,16.3695414377117,9.43522132897529,-9.43522132897529,1.9508482206632e-21,1.37222663841449e-17,1.9508482206632e-21,1.37222663841449e-17,TRUE
PF01381,1167,1055,112,358.018700248209,15.7538486602854,808.981299751791,15.7538486602854,44.2419699961218,-44.2419699961218,0,0,0,0,TRUE
PF12844,1050,903,147,322.124794567798,14.9432785024171,727.875205432202,14.9432785024171,38.872005586876,-38.872005586876,0,0,0,0,TRUE
PF00196,997,638,359,305.86516208009,14.561255430033,691.13483791991,14.561255430033,22.8094919092534,-22.8094919092534,1.8455861106057e-115,1.29818527020005e-111,1.8455861106057e-115,1.29818527020005e-111,TRUE
PF12730,932,915,17,285.92410336875,14.0785911591407,646.07589663125,14.0785911591407,44.6831568244535,-44.6831568244535,0,0,0,0,TRUE
PF00528,893,419,474,273.959468141946,13.7808806185518,619.040531858054,13.7808806185518,10.524765134588,-10.524765134588,3.32134494810888e-26,2.33623403649979e-22,3.32134494810869e-26,2.33623403649965e-22,TRUE
PF13560,878,797,81,269.357685362406,13.664649580575,608.642314637594,13.664649580575,38.6136732981184,-38.6136732981184,0,0,0,0,TRUE
PF12146,870,241,629,266.903401213318,13.6022535944004,603.096598786682,13.6022535944004,-1.90434629332169,1.90434629332169,0.0284325494213015,1,0.0284325494213018,1,FALSE
PF00224,863,2,861,264.755902582866,13.5474213670735,598.244097417134,13.5474213670735,-19.3952705436242,19.3952705436242,4.2303274908186e-84,2.9756123570418e-80,4.23032749081889e-84,2.97561235704201e-80,TRUE
PF00270,861,116,745,264.142331545594,13.5317142065836,596.857668454406,13.5317142065836,-10.9477874926976,10.9477874926975,3.40452348720378e-28,2.39474182089914e-24,3.40452348720391e-28,2.39474182089923e-24,TRUE
PF02887,856,2,854,262.608403952414,13.4923663064602,593.391596047586,13.4923663064602,-19.3152481953914,19.3152481953914,1.99902636412856e-83,1.40611514452803e-79,1.99902636412842e-83,1.40611514452793e-79,TRUE
PF00561,854,235,619,261.994832915142,13.4765949786776,592.005167084858,13.4765949786776,-2.00309002072503,2.00309002072502,0.0225838134646819,1,0.0225838134646822,1,FALSE
PF13847,844,173,671,258.926977728782,13.3974598554131,585.073022271218,13.3974598554131,-6.41367682054029,6.41367682054029,7.10255901634502e-11,4.99594001209709e-07,7.10255901634498e-11,4.99594001209706e-07,TRUE
PF04851,812,136,676,249.10984113243,13.141025428911,562.89015886757,13.141025428911,-8.60738317145189,8.60738317145189,3.73736335876933e-18,2.62886138655835e-14,3.73736335876922e-18,2.62886138655827e-14,TRUE
PF00083,793,233,560,243.280916278346,12.9863718645222,549.719083721654,12.9863718645222,-0.791669635337716,0.791669635337716,0.214276665954981,1,0.214276665954981,1,FALSE
PF00106,745,138,607,228.555211383818,12.5872070898382,516.444788616182,12.5872070898382,-7.1942259102835,7.1942259102835,3.14080580827367e-13,2.2092428055397e-09,3.14080580827367e-13,2.2092428055397e-09,TRUE
PF00392,726,250,476,222.726286529734,12.4256624452316,503.273713470266,12.4256624452316,2.19495045760976,-2.19495045760976,0.0140835758804438,1,0.0140835758804438,1,FALSE
PF13555,726,716,10,222.726286529734,12.4256624452316,503.273713470266,12.4256624452316,39.6979811454286,-39.6979811454286,0,0,0,0,TRUE
PF16934,700,700,0,214.749863045198,12.2011358050744,485.250136954802,12.2011358050744,39.7708987677188,-39.7708987677188,0,0,0,0,TRUE
PF00501,697,221,476,213.82950648929,12.174962441063,483.17049351071,12.174962441063,0.588954055950542,-0.588954055950542,0.27794604714632,1,0.27794604714632,1,FALSE
PF13561,694,135,559,212.909149933382,12.1487326889977,481.090850066618,12.1487326889977,-6.4129446196425,6.4129446196425,7.13676911346122e-11,5.02000339440862e-07,7.13676911346122e-11,5.02000339440862e-07,TRUE
PF12697,675,216,459,207.080225079299,11.9812775123977,467.919774920702,11.9812775123977,0.744476113792682,-0.744476113792684,0.228294243325871,1,0.22829424332587,1,FALSE
PF12833,663,135,528,203.398798855667,11.874299678667,459.601201144333,11.874299678667,-5.76023855777782,5.76023855777782,4.19975687906763e-09,2.95410898873617e-05,4.19975687906763e-09,2.95410898873617e-05,TRUE
PF13649,660,234,426,202.478442299759,11.8474042881223,457.521557700242,11.8474042881223,2.66062986740848,-2.66062986740848,0.0038997321457435,1,0.00389973214574348,1,FALSE
PF01370,654,117,537,200.637729187943,11.793429500407,453.362270812057,11.793429500407,-7.09189207304423,7.09189207304423,6.61453349451461e-13,4.65266286004158e-09,6.61453349451461e-13,4.65266286004158e-09,TRUE
PF08241,645,185,460,197.876659520219,11.7120009350815,447.123340479781,11.7120009350815,-1.09944146961674,1.09944146961674,0.135787775385827,1,0.135787775385826,1,FALSE
PF07992,642,216,426,196.956302964311,11.6847319785597,445.043697035689,11.6847319785597,1.62979322680509,-1.62979322680509,0.0515726028950308,1,0.0515726028950308,1,FALSE
PF00126,633,111,522,194.195233296587,11.60254058097,438.804766703413,11.60254058097,-7.17043243382749,7.17043243382749,3.73806184264241e-13,2.62935270011467e-09,3.73806184264241e-13,2.62935270011467e-09,TRUE
PF00583,630,271,359,193.274876740679,11.5750137555202,436.725123259321,11.5750137555202,6.71490547665691,-6.71490547665691,9.40940850657723e-12,6.61857794352643e-08,9.40940850657723e-12,6.61857794352643e-08,TRUE
PF13489,625,140,485,191.740949147499,11.5289896616974,433.259050852501,11.5289896616974,-4.48789969162666,4.48789969162666,3.5964389665263e-06,0.025297351690546,3.5964389665263e-06,0.025297351690546,TRUE
